GA,131879,162084,133980,139285,201727
PA,68939,90611,91785,110712,132322
IN,132790,141172,141650,176850,249627
NY,101231,128831,124427,141896,189461
CO,238201,334263,380949,523864,794718
NY,69360,90117,82903,90829,132233
OH,108619,114929,109824,128481,178370
AR,103394,120719,122207,133040,172978
NY,79208,117456,116343,132942,180109
NH,138031,188574,172650,201924,309622
OH,123378,136626,122952,142056,195693
OH,130263,139551,126488,154892,204767
KY,109327,128544,124755,143849,201503
IL,47826,55643,56218,64965,77399
HI,222173,401422,423299,583042,847921
OK,71282,85788,87535,105083,156512
TN,85355,105615,102032,132115,200323
SC,64224,82857,81040,101441,146394
FL,98670,141578,112219,145041,231828
OR,91145,144379,125343,168162,262045
NC,167749,260533,232714,266245,399276
NC,57101,67572,59612,65312,92975
OK,75649,87870,80091,89967,129717
MI,102047,112310,128908,148506,207059
NC,89561,109566,112191,137870,202875
WI,87669,104208,95014,112539,163568
GA,92212,105133,88246,105748,146093
KY,48507,56304,67784,108735,165464
NC,77141,95827,98445,124413,190983
VA,90232,97735,85976,83745,113136
NH,163480,221409,205184,251327,410179
NC,110119,128586,118472,147929,239742
OK,77514,87203,86840,104871,120961
WA,149577,208138,190355,256377,386038
NY,143299,217794,219195,254079,394305
MI,108069,112190,103971,135914,187700
VT,124870,184256,184848,199849,281423
TN,111931,149156,129133,159254,257977
OH,109593,118693,116759,142423,180922
VT,145667,213768,221541,254239,352099
OH,109781,113535,101219,114836,154159
NY,71660,125235,126002,139274,182430
OH,85398,89596,90356,119835,156556
NY,99501,122318,109295,128989,181604
OK,67331,82187,89030,108506,156959
NV,192005,244129,173104,301289,446016
OR,99535,135852,123503,179726,337632
GA,65860,78986,69264,84099,126397
CO,376804,570665,507029,690887,1118495
OH,84866,91085,88210,106285,145312
AR,82528,100865,99894,115290,144253
WV,77757,88546,88270,100427,133165
KY,90645,105190,101707,122590,177666
KY,68237,77930,87548,114714,166119
GA,102879,149207,134728,168990,252954
NC,176661,250526,234264,272329,436863
NY,81094,114477,112277,130002,181507
AZ,109233,193478,163717,220964,349261
OK,78528,97284,100280,114140,154191
OH,114561,123263,129712,131677,179976
GA,87009,98837,83656,95962,138732
PA,61149,79125,79719,88190,119965
OR,147742,234134,208801,281358,451412
TN,106217,121584,117248,177061,282517
NY,81428,110988,103995,117789,169469
NV,312000,388306,288649,441290,666885
LA,109843,142210,144939,174018,203834
OH,99907,112722,115097,143505,195646
NY,80732,106378,100823,113523,158559
AZ,94114,147338,116312,158171,248843
OK,89271,106013,108849,119274,176649
CO,145658,198565,201609,278368,423860
NY,85379,119120,113893,129520,169406
KY,80579,88861,87686,109503,153317
KY,105790,122487,118911,149511,219546
IN,109202,123018,125928,151257,213893
OK,81402,99545,105050,132442,202686
GA,79914,94181,83892,93457,123528
GA,105726,124526,110329,131655,185516
AR,84071,100497,105275,126634,171354
KY,69874,82564,79505,91338,124149
NC,106832,138258,121130,142577,208484
AR,91634,110512,109923,131693,187398
MI,126036,126638,114243,141084,186283
OK,55413,61115,61985,73103,99531
TN,87318,97017,98194,136409,213872
OK,75429,92880,89202,94919,129166
OK,63760,77977,81489,85300,113372
MO,64466,71474,75557,100870,153420
GA,69738,77178,70654,104689,181316
NC,82606,98734,87102,106989,164695
AR,102710,139003,132761,148921,202570
GA,113606,130447,113764,128668,171532
AR,45888,54716,55161,65172,92478
TN,90252,100310,98527,134367,217032
MN,89501,98899,91496,117850,171077
FL,97318,122748,90692,140105,231672
MI,109116,116039,112925,125357,156858
FL,72406,99504,78165,133198,230277
AL,52408,67808,67567,74685,78262
OH,113786,121559,118666,145220,205666
OH,85059,78584,83756,101768,137611
OH,98606,100855,100800,122519,161242
AZ,119591,158026,135589,179309,254472
OK,76900,98616,105350,116116,163476
MD,263948,380917,303950,332492,437883
KY,32202,38976,42723,58795,102141
VT,154018,218122,220476,238860,341127
TN,95275,101396,94509,114632,146153
IL,85860,102324,97483,99815,126916
TN,76748,101056,106791,140642,201603
GA,82732,97474,85176,104246,145727
NC,64913,78336,72424,76719,115256
GA,96361,98039,80132,80124,113613
NE,87076,102941,133782,175561,242961
FL,84716,118287,86580,138262,230325
TN,98434,111700,112313,182710,297782
NY,95918,117681,108879,126514,176656
AR,70736,93620,94915,113749,145677
TN,86740,94683,92512,107077,150708
TN,82288,106635,109034,145182,218319
OH,66038,70229,68927,84614,116598
MD,102463,160392,140134,169076,237971
TN,91432,103373,102258,124248,176550
NH,94225,121974,112649,131033,215348
TN,84794,87545,81719,94236,128274
OK,48345,63721,68406,77564,108958
GA,96681,114604,104673,122399,174930
MI,146950,147175,137319,163088,232011
GA,100896,104588,90596,97393,141401
MI,81638,90132,105121,121303,160128
OH,105581,114012,109110,138219,194268
OH,81994,86476,87479,103635,146852
OK,82816,95655,96913,119365,142213
IL,72943,84896,80869,79263,88027
AR,63211,70354,69022,79598,97663
GA,65241,72495,63600,82144,145502
GA,78107,88716,79507,107236,186289
FL,80893,107815,82322,114415,185062
OK,55716,64947,68494,71846,92269
CO,275789,377624,401181,547223,943816
GA,77470,85923,76848,96274,152569
OK,71716,87654,97460,105292,118172
OR,107581,159750,156579,275873,441804
OR,222311,335626,311307,442500,650151
AR,53215,62292,59940,67784,74145
OR,181734,285161,237380,315821,455987
AR,83973,97626,99517,118748,137200
OK,107995,124758,126049,122410,129300
CO,108373,119346,119172,164359,239058
AR,84524,100068,92977,103380,134217
IA,83063,95331,103153,126257,170550
GA,73247,85401,74325,82302,115664
MA,502651,641519,644387,833561,1329969
GA,61757,71071,61212,66277,102438
CO,120888,159592,160306,176088,252994
